"DA","PA","TB","TS","RH","PM","RR","max90","Gruppe"
428.3661,118.9024,14.39225,14.5,67.95388,11.46299,0.4705882,7230,"D"
2908.315,133.2955,16.59521,16.8,68.41487,11.19192,0.3684211,11200,"E"
233.6607,129.8823,12.27969,13.2,68.71481,12.90522,0.2747253,2697,"C"
400.527,125.6088,13.59172,14.3,67.34813,12.11476,0.2396694,5646,"D"
273.4758,120.2656,15.38514,15.5,67.72329,11.37112,0.4463277,4999,"D"
203.8527,146.6517,14.48683,15.4,71.01322,14.76106,0.1844311,2590,"D"
526.7736,194.4027,12.54844,14,71.12728,19.70804,0.3453562,8604,"D"
1748.368,134.5052,19.74278,19.7,72.08264,11.48368,0.5454545,14210,"F"
348.4345,133.1286,20.17463,20.2,73.34311,10.90946,0.3676471,5768,"F"
451.0611,133.9774,19.87718,20,73.15458,11.01618,0.3333333,8440,"F"
886.3965,128.8483,22.50022,22.5,71.50175,8.126667,0.3958333,5350,"F"
3322.154,130.3111,19.30905,19.5,71.9883,11.70948,0.2727273,8760,"F"
6136.255,131.6984,19.43726,20.1,72.08251,12.00012,0.4285714,17670,"F"
791.0239,143.5703,20.04999,20.1,73,12.26088,0.3863636,4820,"F"
176.2654,142.2115,20.09568,20.2,73,13.20368,0.3666667,788.4,"F"
556.4121,142.6003,19.98549,20.1,73.06136,13.76743,0.3928571,1410,"F"
1781.611,142.2279,18.28252,18.6,71.25282,16.3371,0.472973,17450,"F"
445.7151,158.743,18.09465,18.1,70.16145,17.84275,0.4416667,5759,"F"
1574.118,144.7791,17.21771,17.3,72.35785,16.51525,0.3558282,17140,"E"
1927.134,152.088,17.70828,18.2,73.02989,16.66209,0.4384615,29340,"E"
789.9363,154.2749,18.15763,18.3,72.66047,16.44439,0.4745763,13510,"F"
784.8513,115.4079,7.932723,8,69.02537,8.466938,0.526971,9710,"B"
20.3058,121.2006,6.794456,6.9,66.30693,9.558207,0.7108434,346.8,"B"
161.1102,118.8948,6.620263,6.9,67.20657,9.327668,0.6,2343,"B"
222.7851,141.5072,8.049818,8,75.19946,11.80748,0.1712846,3760,"B"
1856.853,139.1415,8.286138,9.8,77.31652,11.92531,0.5195587,28500,"C"
517.3794,126.5897,8.910843,9.4,72.09576,10.427,0.3414634,8084,"C"
161.4825,120.5872,8.154755,8.2,73.89075,10.33273,0.5322034,2241,"B"
70.3458,98.20421,9.88621,10,69.55124,7.569583,0.4551282,1034,"C"
363.4146,102.2293,9.854699,10.3,68,7.790711,0.5136986,6839,"C"
